speaker,timestamp,words,tags
Ed Krumpe,[00:10:52:03],"Pioneer creeks on one side. Well, on the other side, there's forest, but there's definitely a valley, and that's where it used to flow. So it has jumped back and forth. And in fact, what we call this beautiful hayfield and meadow is outward. It's outward from 95,000 acres behind us. But it was in geologic time that it was be on one side and be on the other.",water
Ed Krumpe,[00:11:17:19],"And the one lady said, you know, someday you're going to have a big event and it's going to be going down there again. And we never crossed our mind that that that that huge I think 20 acres or so was deposited from our wash and that the stream itself had moved back and forth in geologic time. That was fun to experience.",wonder
Jack Kredell,[00:11:48:09],That's so interesting because we tend to romanticize wilderness as this unchanging place. When in reality it's a it's a very dynamic.,
Ed Krumpe,[00:11:58:13],"Whole, constantly changing. So the other huge effect that I have witnessed in, well, since 1979 and it's now 2022 when I first went in for a number of decades, there was almost no cheatgrass. In fact, I was with a forest ecologist and he said, See, on these kind of sagebrush, a bunch blue bunchgrass hillsides that you see, there's a couple of big old trees and you see that kind of like yellow something underneath.",growth
Ed Krumpe,[00:12:32:17],"He said. That's that's, that's dead grass. And because of the moisture that the trees do, that's cheatgrass. But he said that's not a good thing. That stuff can spread, spread out. It's it's pernicious. It's all through the area and it's just a major, major hazard hazard has almost no nutritional value for any kind of stalker, bighorn sheep or deer or anything.",growth
Ed Krumpe,[00:13:03:15],"It's it's an invasive from Asia. It comes up before anything else germinates and it germinates soon and and it's very thin that the grass is just really fine, fine, thin. And so it germinates and dies and so then it becomes dead and able to carry fire. And it's able to carry fire right about the time that the native grasses are coming up and influencing and being pollinated and and spreading seed and stuff.",wildfire
Ed Krumpe,[00:13:36:17],"So now we have across the West these massive cheatgrass fires that go ripping through. And it's not just that they burn, but that they they kill and suppress the native grasses. And so we just have cheatgrass everywhere. There up and down those drainages. And when I first started going in there, very little of it. And that's that's a huge change.",wildfire
Ed Krumpe,[00:14:01:16],"And then we have had, you know, there's always been an invasion of noxious weeds in along some of the trails. We now we first everyone said it's backpackers with their ... soles that are no it, it's in the drainages, it comes in from birds, it comes in on the hair of elk and deer and stuff and they, there's been some programs, the Forest Service has done some eradication programs to try to try to control it.",
Ed Krumpe,[00:14:28:06],"But the spot in that weed is, is really a pernicious problem. And then there is some rust skeleton, which is also pretty bad. So we and then cheatgrass and fire, those are invasive species, are they how do you say this, that they can tolerate harsher conditions so they often come in after disturbance, they're a disturbance related species. And so things that have thorns and can grow other places kind of come in to replace stuff.",
Ed Krumpe,[00:15:02:13],"And so I've seen a lot of change that way too. And and so there's less for wildlife, less for people with stock That's that that's as big and pervasive in many ways as the fires been.",
Jack Kredell,[00:15:20:03],Yeah. Which suggests that as remote as wilderness is that it's still connected with the rest of the globe.,
Ed Krumpe,[00:15:27:14],"Yeah. You can't totally get away from it. Years ago, I'd have to look up the date. We got contacted by Idaho National Engineering Lab, and they'd. I was at a conference. They were doing Idaho Falls or somewhere, and they were talking about they had these air quality monitoring stations in one of the most pristine air sheds on earth where Titan, Antarctica, Patagonia, the Ural Mountains in Russia.",wilderness
Ed Krumpe,[00:16:03:12],"And some of the most pristine air sheds where hopefully there would be zero anthropogenic smoke, smog or anything picked up. And I said to them after the presentation, I said, Well, what about Frank Church? And they said, you can't do that. They said, It's for service wilderness and you have to have this tripod and you have to have solar panels and stuff like that to do the sampling and it has to be checked regularly year round.",wilderness
Ed Krumpe,[00:16:38:16],"And I said, We can do that. And I said, What? So they was and this was this is the early eighties. This is like $125,000 apparatus. They brought in and set this up and I mean it had a full methylation meteorological station and barometric pressure and all recorded on a data logger but it had this air quality sampling.",
Ed Krumpe,[00:17:00:04],It had these these ceramic discs. So they were they were sucking air in to get the finest particulates measurable by man. And we're talking microns and then.,
Ed Krumpe,[00:17:03:12],"So they were they were sucking air in to get the finest particulates measurable by man. And we're talking microns. And then there was only two places in the nation we could send these. And I think Stanford had a place to test for, for this. And I think the other might have been MIT, but our stuff was sent to Stanford.",
Ed Krumpe,[00:17:27:08],"But, you know, I thought, Wow, that's amazing. We have this air shed that's so far from any industry or anything that's great. We have this clean air shed. And I started to think about why do they want to monitor these pristine clean air sheds? Well, the reason they wanted to monitor is they wanted to be able to verify that the nuclear armament treaties, because it would pick up any, you know, strontium 90 or anything, it was floating around of somebody violating this.",
Ed Krumpe,[00:17:58:00],"So, so nasty war actually funded the project that went on for quite a few years. But it is I mean, think about it. Where can you ever get a breath of clean air? They told me that probably the last breath of clean air on Earth was in the early 1950s in the Antarctic because from drilling core samples, ice below that, absolutely no anthropogenic contaminants after that, nuclear ions and stuff starts to show up.",
Ed Krumpe,[00:18:37:23],"So, yeah, I mean, it's big, but it's still impacted by the outside world.",
Jack Kredell,[00:18:49:08],The great I didn't know that about the last breath of clean air. I suppose you could also melt the ice core and inhale some of that well.,
Ed Krumpe,[00:19:01:07],"So the other thing that has been done there is there has been one or two studies where they came in and it's called paleo archeology, where they take core samples of the silt at the bottom of these high mountain lakes and seasonally you have striations just like tree rings where you have different flows and spring and you have more things stirred up.",
Ed Krumpe,[00:19:29:02],"But from that you have pollen that settles out. And so from these mud cores are going back hundreds going back thousands of years. They can track the climate, climatic conditions because there's a climatic conditions change the tree species and stuff suddenly change. And so there has been documented that there's been roughly a three to 400 year cycle of colder periods, followed by three or 400 years of warmer periods.",
Ed Krumpe,[00:20:04:22],"And students can actually see this when they hike down from the facility down Big Creek. There are places that there are some monster -- I mean, we're talking four foot diameter ponderosa pine and almost right beside them be we would size Douglas fir. Now those who do not grow in the same conditions, Ponderosa pine, you know needs lots of sunlight they're where the Doug fir is a shade tolerant and so how would you have something that needs hot dry conditions to grow like a pine and Doug fir that needs wet, cool, shady conditions?",growth
Ed Krumpe,[00:20:51:06],"Well, the answer is, is it probably one was at the start of one of those periods and the other came in as a period was changing. And so that's that's something to see that they can just walk right by it on the trail.",growth
Jack Kredell,[00:21:11:22],Wow. That's pretty amazing.,
Jack Kredell,[00:21:15:00],"How are you surviving with the flies? See the they're all attracted to this or that. That's great. It might be doing you, sir. maybe quickly. So you've got your your Ph.D. in 79, right.",
Ed Krumpe,[00:21:34:21],"With 7879. Yeah, I remember. Yeah, totally. It probably shows the 79.",
Jack Kredell,[00:21:42:01],And then in.,
Ed Krumpe,[00:21:43:10],"At Colorado State University. Yeah, I.",
Jack Kredell,[00:21:45:14],"Think 1980,",
Ed Krumpe,[00:21:49:14],"While I was here in 79, in the spring semester.",
Jack Kredell,[00:21:52:09],"Okay then. So the following year, this region that Taylor sits in went from that primitive area right to the Frank Church river of no return wilderness, right. Did that entail any, any changes in how the land was managed or.",
Ed Krumpe,[00:22:15:16],"that's a great question because there was a lot of contention about that. There are public hearings and the dean asked me to go present in Greenville, and it was at this huge, huge meeting room, and I was probably the only person there didn't have a cowboy hat on. But, you know, I talked to them about the advantages of wilderness, and that's one person asked me, well, how much more do we need?",government
Ed Krumpe,[00:22:42:15],"And I said, That's not the question. There is no more. There will only be less wilderness. So we need to take care of what we've got. And because it's there won't be more, it's a matter of how much less can we can we stand? And so they grudgingly nodded and smiled. But not a lot of change other than the Forest Service when it became wilderness.",government
Ed Krumpe,[00:23:12:00],"Then there is some additional regulation and things that we had to adhere to, or they were concerned about where we causing an impact and stuff. But but not a not a great change.",
