speaker,timestamp,words,tags
,,,
Ed Krumpe,00:06:17:21,"Well, the archaeologists showed us a little better place than perhaps at Taylor, because it's just downstream a little bit but its flat and had the stream. There was forage, places to fish. And we actually found some of these implements that were stones that had a little bit of an indentation around their sides. Well, those were net anchors used for getting salmon, and the primary bones in the fire pits were from salmon. And, and also bighorn sheep, but not hardly any elk. But if you look at it, what an advantage of that spot was that there was a narrow approach on either end of this flat area. And just one person on each end could have protected it by standing guard. So it was easy to protect and defend. And so that's something we don't think about choosing a campsite today.h",wilderness
,,,
Ed Krumpe,00:07:22:13,"But everything else that we like in a campsite, availability of firewood, flat spot, access to water, some shade, some sun, some forage, everything else, I'm sure it was the same close to 3,000 years ago when that was occupied. So it's yeah, it's pretty amazing. I should mention, there's actually a third stream on on the Taylor property. We have water rights for three streams. Just across Big Creek from where the the facilities are there's Cliff Creek, which is a steep creek that comes down of out of the lambing cliffs. And so there's an area that's almost like a mountain cirque that's very steep and rocky and inaccessible. And bighorn sheep will only lamb on those cliffs that are just totally inaccessible. So Cliff Creek comes tumbling down there, too. So we actually had three streams. So that's a pretty special spot. You tell a realtor, I want a place in the mountains that has flat and open land and a major stream and three minor streams and yeah, it has a lot of neat attributes.",water
,,,
Jack Kredell,00:08:38:00,"It's amazing. I have a friend who's a Ph.D. in Water Resources, and I think she's studying Pioneer Creek or another one of those creeks around there, it could even be Cliff Creek. But she's, she's looking at springs and that's fantastic. And you actually asked her to three of my classes.",
,,,
Jack Kredell,00:09:02:15,"I was going to ask you to describe the geography around Taylor for somebody who's never been. But you basically did that. And then you also kind of described the kind of deeper historical scenario with this. Yeah, that was really fantastic.",
,,,
Ed Krumpe,00:09:19:17,"You know, I'd like to mention though some of the more modern history. You know, different people came through and stayed there after Dave Lewis. Dave Lewis, what's amazing about the guy that first settled there, was a guide for Colonel Custer in the army. And in the Sheep Eater War, which wasn't a war, was when the army came through and tried to chase the natives out. He (Dave Lewis) saw that country for the first time. I believe he was a guide, and I think he packed ammunition too. But anyway, he came back once he was out of the military and settled there. But then there's been some others, you know, that occupied that place. And now we have a landing strip. It's, I can't remember, I think it's 2600 feet long, and has a bit of a curve to it. So it's not an easy landing strip, it's one of the more difficult ones in the wilderness. But that was carved out with just Jess Taylor and and his mules kusing what they call a slip scoop, which is kind of a metal pan you drag behind, I mean, it's unbelievable work done all by hand to get straightened out and make flat for a landing strip. And so you know, they started landing planes back in I think it was in the 40s.",indigenous
,,,
Ed Krumpe,00:10:49:18,"So, there's been a lot, a lot of time invested into Taylor Ranch. And then the other thing, you can still see some signs of this is, so we have some nice big open meadows and pasture. And so for years, when we had stock in there, horses and mules, we would put up 14 ton of hay a year. But if you'd look out across the pasture after it was mowed, or say, early in the spring, before the grasses started growing, you'd see a series of spiderweb like ditches. And what that was, it's from the old timers who would divert water from Pioneer Creek. And they had these little trickle ditches that they would dam up and then let water go down that one, and then stop that one so water would go down another one so they could cover quite a few acres, with  water as they needed to spread out the water. And so those small ditches still remain. Now we have some hoses and some pivot sprinklers, which can help things green up. But but then for many, many years, we did everything by hand because we had no electricity in there. And we did everything with with stock. And the way we would do haying was you'd have to bring people in to holp. So we'd call in all the researchers and students that had worked there or on some project in the area. And usually near the Fourth of July, they'd come in and we'd have 12 to 16 people helping. And in the morning, we'd hitch up the team and cut with a 1948 McCormick sickle bar mower.",water
,,,
Ed Krumpe,00:12:24:00,"It was a 1948 sickle bar mower and I was able to get parts for that clear up into the mid 1980s. And when we couldn't get parts anymore, we found one in Oregon at an old horse farm and we took the wheels off because they're heavy. And we flew it in and we cannibalized it for other pieces. But we would cut the hay in the morning. You'd go over it with a dump rake which is pulled behind the mules. It was a rake that had tines that would rake and dump the hay in rows to dry. And so you'd make wind rows of hay. And then in the evening, you go flip it into into piles about 30 inches high. And the next day, you'd hitch up a big wagon to the to the mules and you'd go out and you have a student with a pitchfork on either side of each pile. They get down and just throw the pile up on the wagon. You'd have three people up on the wagon, stomping it in. And, you had a number of students on each side and the horses would just weave through these piles of hay so that everyone could throw it up. And we'd get I can't remember, maybe up to two tons per load.",routine
,,,
Ed Krumpe,00:13:30:15,"Just on a wagon, no bales. Then we'd just stacking up a huge hay pile. And then eventually we built a pole barn to keep it out of the weather. We were losing too much by just putting a piece of canvas over it and horses can't eat, eat moldy hay. So eventually we build a pole barn. It's all wood, and even with wood shakes. And we could put 14 to 16 tons of hay in that pole barn. We did that for years to feed the stock. And then the stock were used to support the researchers. So researchers would have spike camps, that people tracking mountain lions used. You do that in the winter. And so they go out with permission from the forest service and set up camps about six or seven miles apart. They'd set up a big old canvas wall tent, cut some firewood. And then in the winter, the researchers would take somebody with mountain lion hunting dogs and go out and track the cougars. All night come across a track dogs would treat them and then they dart them and do the radio collar and things. So there's a yeah, there's quite a history of people using Taylor Ranch had to do it using it using primitive skills beause we were in a designated Wilderness. And we just always cut our firewood with a cross cut saws. Our students learn that elsewhere you might run a chainsaw but in here you'd learn how to pull a crosscut and they'd say I can't do that. And by golly by the end of summer they'd put up three or four cords just with a crosscut so it's been quite a place to learn new skills.",routine
